qID,classID,randomID,atext
65578703,1971,16,First
65578703,3512,16,First
65578703,5312,14,Fourt+
65578703,3465,21,Fourth+
65578703,5312,11,Fourth+
65578703,5312,15,Fourth+
65578703,5037,32,Fourth+
65578703,1981,32,Fourth+
65578703,1981,33,Fourth+
65578703,1620,8,Freshman
65578703,5037,30,Graduate
65578703,5037,31,Graduate
65578703,5017,29,Graduate
65578703,1971,20,Second
65578703,1672,4,Second
65578703,1672,5,Second
65578703,3465,19,Second
65578703,3465,16,Second
65578703,1859,16,Second
65578703,3511,19,Second
65578703,3512,17,Second
65578703,3514,26,Second
65578703,3513,28,Second
65578703,3514,25,Second
65578703,3471,22,Second
65578703,3471,25,Second
65578703,1855,16,Second
65578703,1621,10,Second
65578703,1621,9,Second
65578703,2781,3,Third
65578703,2781,1,Third
65578703,1672,6,Third
65578703,3465,10,Third
65578703,5312,12,Third
65578703,3471,23,Third
12838632,1971,16,Male
12838632,3512,16,Male
12838632,5312,14,Female
12838632,3465,21,Male
12838632,5312,11,Male
12838632,5312,15,Male
12838632,5037,32,Female
12838632,1981,32,Female
12838632,1981,33,Male
12838632,1620,8,Male
12838632,5037,30,Female
12838632,5037,31,Male
12838632,5017,29,Male
12838632,1971,20,Female
12838632,1672,4,Female
12838632,1672,5,Female
12838632,3465,19,Female
12838632,3465,16,Male
12838632,1859,16,Male
12838632,3511,19,Female
12838632,3512,17,Female
12838632,3514,26,Male
12838632,3513,28,Female
12838632,3514,25,Female
12838632,3471,22,Male
12838632,3471,25,Female
12838632,1855,16,Male
12838632,1621,10,Male
12838632,1621,9,Female
12838632,2781,3,Male
12838632,2781,1,Male
12838632,1672,6,Male
12838632,3465,10,Male
12838632,5312,12,Female
12838632,3471,23,Female
50839081,1971,16,31-40%
50839081,3512,16,6-10%
50839081,5312,14,11-15%
50839081,3465,21,16-20%
50839081,5312,11,61-80%
50839081,5312,15,41-50%
50839081,5037,32,11-15%
50839081,1981,32,11-15%
50839081,1981,33,16-20%
50839081,1620,8,16-20%
50839081,5037,30,16-20%
50839081,5037,31,21-25%
50839081,5017,29,0%
50839081,1971,20,31-40%
50839081,1672,4,41-50%
50839081,1672,5,51-60%
50839081,3465,19,6-10%
50839081,3465,16,0%
50839081,1859,16,11-15%
50839081,3511,19,0%
50839081,3512,17,26-30%
50839081,3514,26,1-5%
50839081,3513,28,11-15%
50839081,3514,25,1-5%
50839081,3471,22,6-10%
50839081,3471,25,1-5%
50839081,1855,16,6-10%
50839081,1621,10,16-20%
50839081,1621,9,26-30%
50839081,2781,3,81-99%
50839081,2781,1,61-80%
50839081,1672,6,6-10%
50839081,3465,10,11-15%
50839081,5312,12,0%
50839081,3471,23,11-15%
22511257,1971,16,Undeclared
22511257,3512,16,Economics & Mathematics
22511257,5312,14,Mathematics & Computer Science
22511257,3465,21,Applied Mathematics
22511257,5312,11,Sociology
22511257,5312,15,Business Administration
22511257,5037,32,Mathematics & Computer Science
22511257,1981,32,Mathematics & Computer Science
22511257,1981,33,Economics
22511257,1620,8,Biology
22511257,5037,30,Mathematics
22511257,5037,31,Applied Physics
22511257,5017,29,Computer Science
22511257,1971,20,Chemistry
22511257,1672,4,Applied Mathematics
22511257,1672,5,Physics
22511257,3465,19,Applied Mathematics
22511257,3465,16,Undeclared
22511257,1859,16,Mathematics
22511257,3511,19,Applied Mathematics
22511257,3512,17,Business
22511257,3514,26,Economics & Mathematics
48268605,1981,33,She presents well
48268605,1620,8,He's nice enough
48268605,5017,29,She's very knowledge about the subject
48268605,1971,20,Very engaged
48268605,1672,4,Extremely knowledgeable and clear presentation
48268605,1672,5,Suppose to be the easiest professor in theory
48268605,3511,19,He holds a lot of office hours and is very helpful during them
48268605,3514,26,I love her accent! 
48268605,3513,28,She has neat writing.
48268605,3514,25,She is amazing!!!
48268605,3471,22,He provides lots of examples in class.
48268605,2781,3,Easy A
48268605,1672,6,Nothing good to say
48268605,3465,10,Likes to make nerdy jokes
48268605,5312,12,She knows the material very well
70071024,5312,14,I would take it with Chueng for an easier grade
70071024,5312,15,Nothing to complain about
70071024,5037,32,I didn't understand any of the algorithms
70071024,1981,33,Assignments were too open-ended
70071024,5037,30,Rushes through the topics
70071024,5017,29,A lot of work
70071024,1672,5,He emphasizes random things and I learned nothing
70071024,3511,19,Expects a lot of his students
70071024,3513,28,Her tests are very hard
70071024,2781,1,Lectures are dry
70071024,3465,10,Terrible at explaining algorithm analysis
70071024,5312,12,She expects a lot from her students
70071024,3471,23,Lectures can be boring
39757583,5312,15,Material is so relevant
39757583,5037,30,Algorithms are relevant to my research
39757583,5017,29,Very useful content
39757583,3465,19,Learn to do more with computer science
11747467,5312,15,A lot of work 
11747467,5037,32,Too much math!
11747467,1981,32,Too much programming involved with implementing the different algorithms
11747467,1981,33,Not relevant to anything I'm doing
11747467,1620,8,I hate organic chemistry
11747467,5037,30,Too many class presentations and too many algorithms
11747467,5017,29,Covers too much material
11747467,1971,20,Too many quizzes
11747467,3511,19,Required course - so didn't expect much
11747467,3514,26,Nothing to complain about!
11747467,3471,22,Wish there was more breadth
11747467,1672,6,Terrible class
11747467,3465,10,Coding exercises were pointless
11747467,5312,12,Covers a lot of topics
11747467,3471,23,Why is there so much relational algebra? Yuck
22511257,3513,28,Mathematics
22511257,3514,25,Applied Mathematics
22511257,3471,22,Computer Science
22511257,3471,25,Applied Mathematics
22511257,1855,16,Sociology
22511257,1621,10,Chemistry
22511257,1621,9,Chemistry
22511257,2781,3,Quantitative Science
22511257,2781,1,Applied Physics
22511257,1672,6,Biology
22511257,3465,10,Chemistry
22511257,5312,12,Computer Science
22511257,3471,23,Business
22685989,1971,16,A
22685989,3512,16,A
22685989,5312,14,B+
22685989,3465,21,C
22685989,5312,11,C-
22685989,5312,15,C
22685989,5037,32,C+
22685989,1981,32,B
22685989,1981,33,C+
22685989,1620,8,D+
22685989,5037,30,B+
22685989,5037,31,B-
22685989,5017,29,A-
22685989,1971,20,C+
22685989,1672,4,B+
22685989,1672,5,B-
22685989,3465,19,A
22685989,3465,16,A
22685989,1859,16,A
22685989,3511,19,A-
22685989,3512,17,D
22685989,3514,26,B+
22685989,3513,28,B+
22685989,3514,25,A-
22685989,3471,22,A
22685989,3471,25,A
22685989,1855,16,F
22685989,1621,10,B
22685989,1621,9,A
22685989,2781,3,A
22685989,2781,1,B+
22685989,1672,6,F
22685989,3465,10,D-
22685989,5312,12,A-
22685989,3471,23,B+
64579040,1971,16,Pre-Prof Requirement
64579040,3512,16,Pre-Prof Requirement
64579040,5312,14,Pre-Prof Requirement
64579040,3465,21,College Requirement Major
64579040,5312,11,Interested
64579040,5312,15,Interested
64579040,5037,32,Interested
64579040,1981,32,College Requirement Major
64579040,1981,33,Interested
64579040,1620,8,Pre-Prof Requirement
64579040,5037,30,Interested
64579040,5037,31,Interested
64579040,5017,29,College Requirement Major
64579040,1971,20,Interested
64579040,1672,4,College Requirement Major
64579040,1672,5,College Requirement Major
64579040,3465,19,College Requirement Major
64579040,3465,16,Pre-Prof Requirement
64579040,1859,16,Interested
64579040,3511,19,College Requirement Major
64579040,3512,17,Pre-Prof Requirement
64579040,3514,26,College Requirement Major
64579040,3513,28,College Requirement Major
64579040,3514,25,College Requirement Major
64579040,3471,22,College Requirement Major
64579040,3471,25,Pre-Prof Requirement
64579040,1855,16,College Requirement Major
64579040,1621,10,College Requirement Major
64579040,1621,9,College Requirement Major
64579040,2781,3,Prerequisite
64579040,2781,1,Pre-Prof Requirement
64579040,1672,6,Pre-Prof Requirement
64579040,3465,10,Interested
64579040,5312,12,College Requirement Major
64579040,3471,23,Interested
44926353,1971,16,10
44926353,3512,16,6
44926353,5312,14,8
44926353,3465,21,6
44926353,5312,11,7
44926353,5312,15,10
44926353,5037,32,9
44926353,1981,32,10
44926353,1981,33,5
44926353,1620,8,5
44926353,5037,30,8
44926353,5037,31,8
44926353,5017,29,10
44926353,1971,20,10
44926353,1672,4,10
44926353,1672,5,2
44926353,3465,19,8
44926353,3465,16,
44926353,1859,16,4
44926353,3511,19,8
44926353,3512,17,1
44926353,3514,26,10
44926353,3513,28,8
44926353,3514,25,10
44926353,3471,22,10
44926353,3471,25,8
44926353,1855,16,3
44926353,1621,10,4
44926353,1621,9,6
44926353,2781,3,3
44926353,2781,1,4
44926353,1672,6,3
44926353,3465,10,7
44926353,5312,12,8
44926353,3471,23,7
82655021,1971,16,8
82655021,3512,16,4
82655021,5312,14,9
82655021,3465,21,5
82655021,5312,11,6
82655021,5312,15,10
82655021,5037,32,1
82655021,1981,32,7
82655021,1981,33,4
82655021,1620,8,6
82655021,5037,30,3
82655021,5037,31,1
82655021,5017,29,1
82655021,1971,20,9
82655021,1672,4,8
82655021,1672,5,1
82655021,3465,19,7
82655021,3465,16,
82655021,1859,16,6
82655021,3511,19,7
82655021,3512,17,2
82655021,3514,26,9
82655021,3513,28,8
82655021,3514,25,10
82655021,3471,22,8
82655021,3471,25,6
82655021,1855,16,6
82655021,1621,10,4
82655021,1621,9,5
82655021,2781,3,4
82655021,2781,1,1
82655021,1672,6,2
82655021,3465,10,2
82655021,5312,12,8
82655021,3471,23,8
99626361,1971,16,9
99626361,3512,16,7
99626361,5312,14,6
99626361,3465,21,4
99626361,5312,11,5
99626361,5312,15,10
99626361,5037,32,2
99626361,1981,32,6
99626361,1981,33,3
99626361,1620,8,6
99626361,5037,30,8
99626361,5037,31,5
99626361,5017,29,7
99626361,1971,20,8
99626361,1672,4,8
99626361,1672,5,5
99626361,3465,19,6
99626361,3465,16,4
99626361,1859,16,8
99626361,3511,19,7
99626361,3512,17,4
99626361,3514,26,10
99626361,3513,28,8
99626361,3514,25,10
99626361,3471,22,10
99626361,3471,25,10
99626361,1855,16,1
99626361,1621,10,5
99626361,1621,9,6
99626361,2781,3,7
99626361,2781,1,6
99626361,1672,6,1
99626361,3465,10,7
99626361,5312,12,7
99626361,3471,23,5
33519657,1971,16,7
33519657,3512,16,8
33519657,5312,14,9
33519657,3465,21,6
33519657,5312,11,4
33519657,5312,15,10
33519657,5037,32,6
33519657,1981,32,7
33519657,1981,33,1
33519657,1620,8,2
33519657,5037,30,3
33519657,5037,31,5
33519657,5017,29,9
33519657,1971,20,9
33519657,1672,4,4
33519657,1672,5,6
33519657,3465,19,6
33519657,3465,16,9
33519657,1859,16,7
33519657,3511,19,4
33519657,3512,17,5
33519657,3514,26,10
33519657,3513,28,8
33519657,3514,25,10
33519657,3471,22,8
33519657,3471,25,9
33519657,1855,16,9
33519657,1621,10,5
33519657,1621,9,7
33519657,2781,3,3
33519657,2781,1,5
33519657,1672,6,8
33519657,3465,10,4
33519657,5312,12,9
33519657,3471,23,4
40496350,1971,16,6
40496350,3512,16,2
40496350,5312,14,1
40496350,3465,21,4
40496350,5312,11,5
40496350,5312,15,3
40496350,5037,32,2
40496350,1981,32,6
40496350,1981,33,1
40496350,1620,8,3
40496350,5037,30,4
40496350,5037,31,6
40496350,5017,29,1
40496350,1971,20,7
40496350,1672,4,10
40496350,1672,5,4
40496350,3465,19,4
40496350,3465,16,5
40496350,1859,16,1
40496350,3511,19,5
40496350,3512,17,6
40496350,3514,26,9
40496350,3513,28,8
40496350,3514,25,10
40496350,3471,22,7
40496350,3471,25,5
40496350,1855,16,1
40496350,1621,10,4
40496350,1621,9,4
40496350,2781,3,1
40496350,2781,1,2
40496350,1672,6,2
40496350,3465,10,6
40496350,5312,12,9
40496350,3471,23,6
60857893,1971,16,5
60857893,3512,16,4
60857893,5312,14,5
60857893,3465,21,3
60857893,5312,11,8
60857893,5312,15,5
60857893,5037,32,6
60857893,1981,32,7
60857893,1981,33,5
60857893,1620,8,2
60857893,5037,30,6
60857893,5037,31,8
60857893,5017,29,10
60857893,1971,20,7
60857893,1672,4,10
60857893,1672,5,4
60857893,3465,19,3
60857893,3465,16,9
60857893,1859,16,9
60857893,3511,19,8
60857893,3512,17,1
60857893,3514,26,9
60857893,3513,28,8
60857893,3514,25,10
60857893,3471,22,7
60857893,3471,25,6
60857893,1855,16,5
60857893,1621,10,4
60857893,1621,9,3
60857893,2781,3,2
60857893,2781,1,2
60857893,1672,6,1
60857893,3465,10,6
60857893,5312,12,7
60857893,3471,23,8
32787833,1971,16,Agree
32787833,3512,16,Agree
32787833,5312,14,Agree
32787833,3465,21,Neutral 
32787833,5312,11,Neutral
32787833,5312,15,Strongly Agree
32787833,5037,32,Disagree
32787833,1981,32,Neutral
32787833,1981,33,Disagree
32787833,1620,8,Strongly Disagree
32787833,5037,30,Agree
32787833,5037,31,Neutral
32787833,5017,29,Strongly Agree
32787833,1971,20,Agree
32787833,1672,4,Strongly Agree
32787833,1672,5,Strongly Disagree
32787833,3465,19,Neutral
32787833,3465,16,Neutral
32787833,1859,16,Disagree
32787833,3511,19,Neutral
32787833,3512,17,Neutral
32787833,3514,26,Neutral
32787833,3513,28,Agree
32787833,3514,25,Agree
32787833,3471,22,Agree
32787833,3471,25,Neutral
32787833,1855,16,Neutral
32787833,1621,10,Strongly Disagree
32787833,1621,9,Neutral
32787833,2781,3,Disagree
32787833,2781,1,Strongly Disagree
32787833,1672,6,Strongly Disagree
32787833,3465,10,Neutral
32787833,5312,12,Agree
32787833,3471,23,Agree
91992531,1971,16,Disagree
91992531,3512,16,Disagree
91992531,5312,14,Disagree
91992531,3465,21,Disagree
91992531,5312,11,Neutral
91992531,5312,15,Strongly Agree
91992531,5037,32,Disagree
91992531,1981,32,Agree
91992531,1981,33,Strongly Disagree
91992531,1620,8,Neutral
91992531,5037,30,Neutral
91992531,5037,31,Neutral
91992531,5017,29,Strongly Agree
91992531,1971,20,Agree
91992531,1672,4,Strongly Agree
91992531,1672,5,Strongly Disagree
91992531,3465,19,Neutral
91992531,3465,16,Strongly Disagree
91992531,1859,16,Disagree
91992531,3511,19,Neutral
91992531,3512,17,Agree
91992531,3514,26,Agree
91992531,3513,28,Agree
91992531,3514,25,Strongly Agree
91992531,3471,22,Agree
91992531,3471,25,Neutral
91992531,1855,16,Disagree
91992531,1621,10,Disagree
91992531,1621,9,Neutral
91992531,2781,3,Disagree
91992531,2781,1,Strongly Disagree
91992531,1672,6,Strongly Disagree
91992531,3465,10,Disagree
91992531,5312,12,Agree
91992531,3471,23,Neutral
48268605,5312,15,Best teacher I've had
48268605,5037,32,Nothing good to say about her
48268605,1981,32,She's nice and friendly
39757583,3514,25,Useful course for my major
39757583,3471,22,Great notes
39757583,1621,9,Easy class -- didn't need to goto class
39757583,1672,6,Hot girls take the class
39757583,3471,23,Course notes are comprehensive and great
11747467,3465,21,Don't know why this class is required for Applied Mathematics major
